Ace,Value,Dealer,Hit,Stay
0,4,2,-0.386,-0.326
0,4,3,-0.337,-0.35
0,4,4,-0.332,-0.459
0,4,5,-0.301,-0.492
0,4,6,-0.354,-0.504
0,4,7,-0.505,-0.839
0,4,8,-0.56,-0.624
0,4,9,-0.567,-0.753
0,4,10,-0.594,-0.852
0,4,11,-0.446,-0.824
0,5,2,-0.385,-0.446
0,5,3,-0.37,-0.438
0,5,4,-0.326,-0.321
0,5,5,-0.323,-0.432
0,5,6,-0.332,-0.332
0,5,7,-0.522,-0.695
0,5,8,-0.555,-0.634
0,5,9,-0.566,-0.739
0,5,10,-0.585,-0.784
0,5,11,-0.51,-0.646
0,6,2,-0.393,-0.516
0,6,3,-0.381,-0.561
0,6,4,-0.323,-0.4
0,6,5,-0.311,-0.189
0,6,6,-0.381,-0.436
0,6,7,-0.461,-0.721
0,6,8,-0.58,-0.838
0,6,9,-0.571,-0.745
0,6,10,-0.598,-0.756
0,6,11,-0.498,-0.67
0,7,2,-0.36,-0.383
0,7,3,-0.329,-0.419
0,7,4,-0.329,-0.335
0,7,5,-0.29,-0.334
0,7,6,-0.311,-0.339
0,7,7,-0.379,-0.653
0,7,8,-0.509,-0.76
0,7,9,-0.555,-0.812
0,7,10,-0.542,-0.768
0,7,11,-0.43,-0.582
0,8,2,-0.31,-0.598
0,8,3,-0.302,-0.368
0,8,4,-0.303,-0.415
0,8,5,-0.25,-0.259
0,8,6,-0.3,-0.319
0,8,7,-0.314,-0.679
0,8,8,-0.408,-0.708
0,8,9,-0.471,-0.911
0,8,10,-0.492,-0.815
0,8,11,-0.404,-0.67
0,9,2,-0.273,-0.476
0,9,3,-0.253,-0.336
0,9,4,-0.25,-0.375
0,9,5,-0.249,-0.263
0,9,6,-0.254,-0.354
0,9,7,-0.274,-0.693
0,9,8,-0.356,-0.757
0,9,9,-0.383,-0.87
0,9,10,-0.427,-0.807
0,9,11,-0.373,-0.762
0,10,2,-0.217,-0.522
0,10,3,-0.175,-0.453
0,10,4,-0.161,-0.345
0,10,5,-0.159,-0.308
0,10,6,-0.163,-0.34
0,10,7,-0.228,-0.663
0,10,8,-0.283,-0.719
0,10,9,-0.236,-0.8
0,10,10,-0.275,-0.794
0,10,11,-0.277,-0.616
0,11,2,-0.032,-0.459
0,11,3,-0.041,-0.362
0,11,4,-0.02,-0.389
0,11,5,-0.011,-0.352
0,11,6,0.009,-0.448
0,11,7,-0.037,-0.754
0,11,8,-0.056,-0.801
0,11,9,-0.094,-0.821
0,11,10,-0.123,-0.809
0,11,11,-0.045,-0.659
0,12,2,-0.429,-0.422
0,12,3,-0.408,-0.484
0,12,4,-0.437,-0.443
0,12,5,-0.372,-0.338
0,12,6,-0.419,-0.461
0,12,7,-0.437,-0.717
0,12,8,-0.464,-0.785
0,12,9,-0.486,-0.815
0,12,10,-0.465,-0.781
0,12,11,-0.454,-0.636
0,13,2,-0.428,-0.468
0,13,3,-0.453,-0.43
0,13,4,-0.434,-0.41
0,13,5,-0.448,-0.333
0,13,6,-0.439,-0.497
0,13,7,-0.445,-0.756
0,13,8,-0.491,-0.826
0,13,9,-0.476,-0.78
0,13,10,-0.492,-0.786
0,13,11,-0.478,-0.709
0,14,2,-0.478,-0.475
0,14,3,-0.459,-0.425
0,14,4,-0.452,-0.405
0,14,5,-0.467,-0.365
0,14,6,-0.469,-0.388
0,14,7,-0.48,-0.69
0,14,8,-0.497,-0.79
0,14,9,-0.495,-0.765
0,14,10,-0.512,-0.789
0,14,11,-0.494,-0.726
0,15,2,-0.502,-0.52
0,15,3,-0.5,-0.466
0,15,4,-0.493,-0.359
0,15,5,-0.489,-0.393
0,15,6,-0.503,-0.393
0,15,7,-0.477,-0.69
0,15,8,-0.504,-0.739
0,15,9,-0.504,-0.774
0,15,10,-0.518,-0.763
0,15,11,-0.494,-0.714
0,16,2,-0.515,-0.436
0,16,3,-0.484,-0.486
0,16,4,-0.516,-0.355
0,16,5,-0.513,-0.36
0,16,6,-0.499,-0.466
0,16,7,-0.504,-0.717
0,16,8,-0.497,-0.848
0,16,9,-0.523,-0.755
0,16,10,-0.508,-0.802
0,16,11,-0.5,-0.665
0,17,2,-0.523,-0.265
0,17,3,-0.542,-0.231
0,17,4,-0.526,-0.261
0,17,5,-0.505,-0.234
0,17,6,-0.524,-0.142
0,17,7,-0.513,-0.048
0,17,8,-0.516,-0.554
0,17,9,-0.536,-0.612
0,17,10,-0.538,-0.574
0,17,11,-0.518,-0.348
0,18,2,-0.562,-0.032
0,18,3,-0.552,-0.003
0,18,4,-0.538,-0.083
0,18,5,-0.535,0.03
0,18,6,-0.533,-0.013
0,18,7,-0.551,0.159
0,18,8,-0.544,0.045
0,18,9,-0.543,-0.407
0,18,10,-0.552,-0.353
0,18,11,-0.555,-0.093
0,19,2,-0.59,0.147
0,19,3,-0.581,0.17
0,19,4,-0.587,0.173
0,19,5,-0.561,0.204
0,19,6,-0.587,0.207
0,19,7,-0.579,0.288
0,19,8,-0.585,0.297
0,19,9,-0.591,0.198
0,19,10,-0.569,-0.138
0,19,11,-0.557,0.171
0,20,2,-0.582,0.324
0,20,3,-0.6,0.349
0,20,4,-0.604,0.353
0,20,5,-0.594,0.376
0,20,6,-0.598,0.406
0,20,7,-0.597,0.415
0,20,8,-0.594,0.4
0,20,9,-0.586,0.444
0,20,10,-0.584,0.481
0,20,11,-0.608,0.452
1,2,2,-0.147,-0.463
1,2,3,-0.232,-0.518
1,2,4,-0.142,-0.535
1,2,5,-0.105,-0.159
1,2,6,-0.149,-0.439
1,2,7,-0.221,-0.734
1,2,8,-0.355,-0.81
1,2,9,-0.313,-0.756
1,2,10,-0.33,-0.789
1,2,11,-0.222,-0.731
1,3,2,-0.132,-0.501
1,3,3,-0.199,-0.47
1,3,4,-0.125,-0.496
1,3,5,-0.192,-0.222
1,3,6,-0.144,-0.449
1,3,7,-0.254,-0.861
1,3,8,-0.224,-0.775
1,3,9,-0.335,-0.718
1,3,10,-0.338,-0.806
1,3,11,-0.211,-0.622
1,4,2,-0.191,-0.553
1,4,3,-0.194,-0.436
1,4,4,-0.163,-0.35
1,4,5,-0.105,-0.431
1,4,6,-0.161,-0.391
1,4,7,-0.247,-0.77
1,4,8,-0.226,-0.842
1,4,9,-0.289,-0.716
1,4,10,-0.319,-0.806
1,4,11,-0.351,-0.551
1,5,2,-0.247,-0.544
1,5,3,-0.304,-0.425
1,5,4,-0.217,-0.314
