policy,left_arm,right_arm,rewards
Greedy,0.1,0.1,10.4
EpsilonGreedy,0.1,0.1,7.4
UCB,0.1,0.1,9.4
ThompsonSampling,0.1,0.1,11.8
Greedy,0.1,0.2,10.4
EpsilonGreedy,0.1,0.2,18.2
UCB,0.1,0.2,19.8
ThompsonSampling,0.1,0.2,17.4
Greedy,0.1,0.3,11.4
EpsilonGreedy,0.1,0.3,27.4
UCB,0.1,0.3,27.4
ThompsonSampling,0.1,0.3,24.8
Greedy,0.1,0.4,11.2
EpsilonGreedy,0.1,0.4,40.6
UCB,0.1,0.4,38.6
ThompsonSampling,0.1,0.4,39.6
Greedy,0.1,0.5,11.6
EpsilonGreedy,0.1,0.5,46.2
UCB,0.1,0.5,49.2
ThompsonSampling,0.1,0.5,51.8
Greedy,0.1,0.6,10.0
EpsilonGreedy,0.1,0.6,50.4
UCB,0.1,0.6,60.2
ThompsonSampling,0.1,0.6,61.0
Greedy,0.1,0.7,9.6
EpsilonGreedy,0.1,0.7,64.8
UCB,0.1,0.7,67.8
ThompsonSampling,0.1,0.7,67.8
Greedy,0.1,0.8,8.8
EpsilonGreedy,0.1,0.8,71.8
UCB,0.1,0.8,77.2
ThompsonSampling,0.1,0.8,77.2
Greedy,0.1,0.9,10.8
EpsilonGreedy,0.1,0.9,83.0
UCB,0.1,0.9,88.0
ThompsonSampling,0.1,0.9,86.6
Greedy,0.2,0.1,21.8
EpsilonGreedy,0.2,0.1,19.6
UCB,0.2,0.1,21.0
ThompsonSampling,0.2,0.1,18.6
Greedy,0.2,0.2,23.2
EpsilonGreedy,0.2,0.2,18.8
UCB,0.2,0.2,21.6
ThompsonSampling,0.2,0.2,19.0
Greedy,0.2,0.3,18.4
EpsilonGreedy,0.2,0.3,29.8
UCB,0.2,0.3,29.6
ThompsonSampling,0.2,0.3,27.8
Greedy,0.2,0.4,20.4
EpsilonGreedy,0.2,0.4,41.6
UCB,0.2,0.4,40.8
ThompsonSampling,0.2,0.4,34.0
Greedy,0.2,0.5,19.8
EpsilonGreedy,0.2,0.5,49.8
UCB,0.2,0.5,48.2
ThompsonSampling,0.2,0.5,51.0
Greedy,0.2,0.6,21.6
EpsilonGreedy,0.2,0.6,39.4
UCB,0.2,0.6,60.8
ThompsonSampling,0.2,0.6,60.4
Greedy,0.2,0.7,16.2
EpsilonGreedy,0.2,0.7,63.4
UCB,0.2,0.7,68.4
ThompsonSampling,0.2,0.7,69.8
Greedy,0.2,0.8,19.6
EpsilonGreedy,0.2,0.8,72.8
UCB,0.2,0.8,77.8
ThompsonSampling,0.2,0.8,78.0
Greedy,0.2,0.9,19.8
EpsilonGreedy,0.2,0.9,86.0
UCB,0.2,0.9,89.0
ThompsonSampling,0.2,0.9,86.4
Greedy,0.3,0.1,28.8
EpsilonGreedy,0.3,0.1,28.8
UCB,0.3,0.1,27.4
ThompsonSampling,0.3,0.1,26.6
Greedy,0.3,0.2,32.0
EpsilonGreedy,0.3,0.2,28.6
UCB,0.3,0.2,26.2
ThompsonSampling,0.3,0.2,27.6
Greedy,0.3,0.3,31.4
EpsilonGreedy,0.3,0.3,32.8
UCB,0.3,0.3,28.8
ThompsonSampling,0.3,0.3,29.0
Greedy,0.3,0.4,30.0
EpsilonGreedy,0.3,0.4,35.8
UCB,0.3,0.4,41.4
ThompsonSampling,0.3,0.4,36.6
Greedy,0.3,0.5,29.2
EpsilonGreedy,0.3,0.5,44.6
UCB,0.3,0.5,51.0
ThompsonSampling,0.3,0.5,44.2
Greedy,0.3,0.6,29.4
EpsilonGreedy,0.3,0.6,52.8
UCB,0.3,0.6,60.0
ThompsonSampling,0.3,0.6,57.4
Greedy,0.3,0.7,29.2
EpsilonGreedy,0.3,0.7,68.8
UCB,0.3,0.7,68.2
ThompsonSampling,0.3,0.7,68.6
Greedy,0.3,0.8,28.4
EpsilonGreedy,0.3,0.8,75.2
UCB,0.3,0.8,78.8
ThompsonSampling,0.3,0.8,76.4
Greedy,0.3,0.9,26.4
EpsilonGreedy,0.3,0.9,85.6
UCB,0.3,0.9,88.2
ThompsonSampling,0.3,0.9,89.0
Greedy,0.4,0.1,36.4
EpsilonGreedy,0.4,0.1,41.2
UCB,0.4,0.1,38.4
ThompsonSampling,0.4,0.1,39.0
Greedy,0.4,0.2,38.2
EpsilonGreedy,0.4,0.2,41.6
