Ace,Value,Dealer,Hit,Stay
0,4,2,-1.0,0.6
0,4,3,-1.0,-0.2
0,4,4,0.182,-1.0
0,4,5,-1.0,-0.167
0,4,6,-1.0,0.25
0,4,7,0.0,-0.333
0,4,8,-0.538,-1.0
0,4,9,-1.0,-0.417
0,4,10,-1.0,-0.536
0,4,11,-0.5,-0.333
0,5,2,-0.122,-1.0
0,5,3,0.295,0.0
0,5,4,0.021,-0.5
0,5,5,-1.0,0.045
0,5,6,-0.2,-0.034
0,5,7,-1.0,-0.2
0,5,8,-1.0,-0.574
0,5,9,-1.0,-0.316
0,5,10,-1.0,-0.424
0,5,11,-1.0,-0.212
0,6,2,-1.0,0.023
0,6,3,-0.429,-0.261
0,6,4,-1.0,0.016
0,6,5,-0.028,-1.0
0,6,6,0.061,-1.0
0,6,7,-1.0,-0.169
0,6,8,-0.254,-1.0
0,6,9,-1.0,-0.463
0,6,10,-0.397,-1.0
0,6,11,-0.304,-1.0
0,7,2,-0.012,-1.0
0,7,3,-0.116,-1.0
0,7,4,0.226,0.0
0,7,5,0.121,-1.0
0,7,6,-1.0,0.011
0,7,7,-0.131,-1.0
0,7,8,-1.0,-0.475
0,7,9,-1.0,-0.542
0,7,10,-0.373,-1.0
0,7,11,-1.0,-0.548
0,8,2,-1.0,-0.235
0,8,3,0.096,-1.0
0,8,4,-1.0,-0.207
0,8,5,-1.0,-0.055
0,8,6,0.092,-1.0
0,8,7,0.0,-1.0
0,8,8,-0.075,-1.0
0,8,9,-1.0,-0.455
0,8,10,-0.311,-1.0
0,8,11,-1.0,-0.529
0,9,2,0.092,-1.0
0,9,3,0.275,-1.0
0,9,4,0.336,0.0
0,9,5,0.23,-1.0
0,9,6,-1.0,0.069
0,9,7,0.142,-1.0
0,9,8,0.02,-1.0
0,9,9,-0.398,-1.0
0,9,10,-0.182,-1.0
0,9,11,-0.099,-1.0
0,10,2,0.0,0.012
0,10,3,0.309,-1.0
0,10,4,0.473,-0.333
0,10,5,0.273,0.0
0,10,6,0.441,-1.0
0,10,7,-1.0,-0.345
0,10,8,0.233,-1.0
0,10,9,-1.0,-0.417
0,10,10,-1.0,-0.5
0,10,11,0.19,0.0
0,11,2,0.312,0.0
0,11,3,-1.0,-0.031
0,11,4,0.383,-1.0
0,11,5,0.456,0.0
0,11,6,0.403,-1.0
0,11,7,0.339,-1.0
0,11,8,0.159,-1.0
0,11,9,0.132,-1.0
0,11,10,-1.0,-0.469
0,11,11,0.133,-1.0
0,12,2,-0.204,-1.0
0,12,3,-1.0,-0.146
0,12,4,-0.333,-0.129
0,12,5,-0.187,-1.0
0,12,6,-0.122,-1.0
0,12,7,-0.6,-0.406
0,12,8,-0.583,-0.466
0,12,9,-0.436,-1.0
0,12,10,-0.286,-1.0
0,12,11,-1.0,-0.376
0,13,2,-0.27,-1.0
0,13,3,-1.0,-0.157
0,13,4,-0.6,-0.149
0,13,5,-0.199,-1.0
0,13,6,-1.0,-0.025
0,13,7,-0.237,-1.0
0,13,8,-1.0,-0.505
0,13,9,-0.363,-1.0
0,13,10,-1.0,-0.501
0,13,11,-0.481,-1.0
0,14,2,-0.305,-1.0
0,14,3,-1.0,-0.137
0,14,4,-1.0,-0.046
0,14,5,-0.286,-1.0
0,14,6,-1.0,-0.014
0,14,7,-0.256,-0.6
0,14,8,-0.388,-1.0
0,14,9,-1.0,-0.45
0,14,10,-1.0,-0.432
0,14,11,-1.0,-0.328
0,15,2,-1.0,-0.188
0,15,3,-1.0,-0.195
0,15,4,-1.0,-0.012
0,15,5,-0.409,-1.0
0,15,6,-0.379,-1.0
0,15,7,-1.0,-0.404
0,15,8,-0.369,-0.667
0,15,9,-0.564,-1.0
0,15,10,-1.0,-0.503
0,15,11,-0.643,-0.349
0,16,2,-1.0,-0.206
0,16,3,-1.0,-0.143
0,16,4,-1.0,-0.12
0,16,5,-1.0,-0.007
0,16,6,-1.0,-0.123
0,16,7,-0.24,-1.0
0,16,8,-1.0,-0.488
0,16,9,-1.0,-0.45
0,16,10,-0.49,-1.0
0,16,11,-0.451,-1.0
0,17,2,-1.0,-0.036
0,17,3,-0.333,0.019
0,17,4,-1.0,-0.007
0,17,5,-1.0,0.141
0,17,6,-0.5,0.067
0,17,7,-1.0,-0.033
0,17,8,-0.474,-1.0
0,17,9,-1.0,-0.394
0,17,10,-1.0,-0.327
0,17,11,-0.549,-1.0
0,18,2,-1.0,0.119
0,18,3,-1.0,0.375
0,18,4,-0.2,0.125
0,18,5,0.0,0.243
0,18,6,-1.0,0.3
0,18,7,-1.0,0.402
0,18,8,-1.0,0.036
0,18,9,-1.0,-0.243
0,18,10,-1.0,-0.135
0,18,11,-1.0,0.116
0,19,2,-1.0,0.44
0,19,3,-1.0,0.502
0,19,4,0.0,0.507
0,19,5,-1.0,0.565
0,19,6,-1.0,0.474
0,19,7,-1.0,0.634
0,19,8,0.0,0.682
0,19,9,-0.68,-1.0
0,19,10,-1.0,0.082
0,19,11,-1.0,0.44
0,20,2,-1.0,0.645
0,20,3,-1.0,0.689
0,20,4,-1.0,0.745
0,20,5,0.0,0.757
0,20,6,0.0,0.672
0,20,7,-1.0,0.75
0,20,8,-1.0,0.758
0,20,9,-1.0,0.759
0,20,10,0.0,0.586
0,20,11,0.0,0.689
1,2,2,0.0,-0.333
1,2,3,-1.0,-0.137
1,2,4,0.163,-1.0
1,2,5,-1.0,0.179
1,2,6,0.288,-1.0
1,2,7,0.13,-1.0
1,2,8,-1.0,-0.583
1,2,9,-0.067,-1.0
1,2,10,-1.0,-0.488
1,2,11,-1.0,-0.048
1,3,2,0.152,-0.333
1,3,3,-0.138,-1.0
1,3,4,-0.333,-0.12
1,3,5,0.222,-1.0
1,3,6,-0.053,-0.5
1,3,7,-0.033,-1.0
1,3,8,-0.106,-1.0
1,3,9,-1.0,-0.569
1,3,10,-0.082,-1.0
1,3,11,-0.038,-1.0
1,4,2,-1.0,-0.298
1,4,3,-0.108,-1.0
1,4,4,-1.0,-0.316
1,4,5,0.0,0.059
1,4,6,-1.0,-0.236
1,4,7,0.021,-0.333
1,4,8,-1.0,-0.231
1,4,9,-1.0,-0.273
1,4,10,-0.175,-1.0
1,4,11,-0.348,-1.0
1,5,2,-0.333,-0.133
1,5,3,0.063,0.0
1,5,4,-1.0,-0.16
1,5,5,-0.167,-1.0
1,5,6,-1.0,-0.02
1,5,7,-1.0,-0.308
1,5,8,-0.128,-1.0
1,5,9,-1.0,-0.692
1,5,10,-0.161,-0.429
1,5,11,-1.0,-0.484
1,6,2,-1.0,-0.049
1,6,3,-1.0,-0.105
1,6,4,-1.0,-0.091
1,6,5,-0.333,-0.169
1,6,6,-1.0,0.145
1,6,7,-0.25,-0.05
1,6,8,-0.26,-1.0
1,6,9,-0.291,-1.0
1,6,10,-0.257,-1.0
1,6,11,-0.269,-1.0
1,7,2,0.125,0.0
1,7,3,-0.25,0.067
1,7,4,-0.333,0.093
1,7,5,-1.0,0.368
1,7,6,0.0,0.5
1,7,7,0.0,0.594
1,7,8,-0.019,-1.0
1,7,9,-0.042,-1.0
1,7,10,-1.0,-0.106
1,7,11,0.409,-1.0
1,8,2,0.0,0.396
1,8,3,0.025,-1.0
1,8,4,0.0,0.564
1,8,5,0.0,0.711
1,8,6,-1.0,0.491
1,8,7,0.0,0.609
1,8,8,0.0,0.687
1,8,9,-1.0,0.275
1,8,10,-0.054,-0.333
1,8,11,0.077,0.0
1,9,2,0.0,0.625
1,9,3,-1.0,0.594
1,9,4,-1.0,0.661
1,9,5,0.0,0.607
1,9,6,-0.5,0.652
1,9,7,0.0,0.818
1,9,8,0.0,0.771
1,9,9,0.0,0.694
1,9,10,0.0,0.609
1,9,11,0.367,0.0
1,11,2,-1.0,0.077
1,11,3,-0.333,-1.0
1,11,4,-0.423,-1.0
1,11,5,-1.0,-0.294
1,11,6,-1.0,0.077
1,11,7,-0.278,-1.0
1,11,8,-0.412,-1.0
1,11,9,-1.0,0.043
1,11,10,-1.0,-0.493
1,11,11,-1.0,-0.52
1,12,2,-0.5,-0.257
1,12,3,-0.5,-0.182
1,12,4,-1.0,0.333
1,12,5,-0.733,-1.0
1,12,6,-1.0,-0.051
1,12,7,-1.0,-0.6
1,12,8,0.0,-0.538
1,12,9,-0.269,-1.0
1,12,10,-0.266,-1.0
1,12,11,0.25,-1.0
1,13,2,-1.0,0.02
1,13,3,-0.387,-1.0
1,13,4,-1.0,0.0
1,13,5,-0.333,0.091
1,13,6,-0.462,-1.0
1,13,7,-1.0,-0.125
1,13,8,-1.0,-0.455
1,13,9,-0.567,-1.0
1,13,10,-0.402,-1.0
1,13,11,-0.577,-1.0
1,14,2,-1.0,0.097
1,14,3,-1.0,-0.143
1,14,4,-1.0,-0.2
1,14,5,-0.405,-1.0
1,14,7,-1.0,-0.378
1,14,8,-1.0,-0.644
1,14,9,-0.818,-1.0
1,14,10,-1.0,-0.487
1,14,11,0.0,-1.0
1,15,2,-1.0,-1.0
1,15,3,-1.0,-0.308
1,15,4,-1.0,-1.0
1,15,5,-1.0,-0.053
1,15,6,-0.571,-1.0
1,15,7,0.0,-1.0
1,15,8,-0.321,-1.0
1,15,9,-1.0,-0.486
1,15,10,-0.353,-1.0
1,15,11,-1.0,-0.077
1,16,2,-1.0,-0.6
1,16,3,-1.0,-0.667
1,16,4,-1.0,0.5
1,16,5,-1.0,-0.429
1,16,6,0.0,-1.0
1,16,7,-1.0,0.172
1,16,8,-0.565,-1.0
1,16,9,-1.0,-0.48
1,16,10,-1.0,-0.338
1,16,11,-0.576,-1.0
1,17,2,-1.0,0.133
1,17,3,0.25,-1.0
1,17,4,-1.0,-1.0
1,17,5,0.0,1.0
1,17,6,0.0,0.333
1,17,8,-0.333,0.277
1,17,9,-1.0,-0.083
1,17,10,-1.0,-0.25
1,17,11,-1.0,0.029
1,18,3,-1.0,0.528
1,18,4,0.0,-1.0
1,18,5,-0.333,-0.333
1,18,6,-1.0,0.5
1,18,7,0.0,1.0
1,18,8,0.0,0.6
1,18,9,-1.0,0.0
1,18,10,0.0,0.113
1,18,11,0.0,0.227
1,19,2,-1.0,0.0
1,19,3,-1.0,1.0
1,19,4,0.0,1.0
1,19,5,-1.0,0.9
1,19,6,-1.0,0.0
1,19,7,0.0,1.0
1,19,8,0.0,1.0
1,19,9,-1.0,0.778
1,19,10,0.0,0.611
1,19,11,-1.0,0.739
2,0,2,0.6,-1.0
2,0,3,-1.0,0.273
2,0,4,-1.0,-0.111
2,0,5,-1.0,-0.2
2,0,6,0.25,0.0
2,0,7,-0.583,-1.0
2,0,8,-0.4,-1.0
2,0,9,-0.5,-0.143
2,0,10,-0.178,-1.0
2,0,11,0.333,-0.333
2,2,2,-1.0,-1.0
2,2,4,-1.0,-1.0
2,2,6,-0.2,-1.0
2,2,7,-0.333,-0.2
2,2,8,-1.0,-1.0
2,2,9,-0.25,-1.0
2,2,10,0.2,-1.0
2,3,2,-0.2,-1.0
2,3,5,0.5,0.0
2,3,6,-1.0,1.0
2,3,7,-1.0,-1.0
2,3,8,-1.0,-1.0
2,3,9,-1.0,0.0
2,3,10,-1.0,-0.429
2,3,11,0.333,0.0
2,4,2,-1.0,0.0
2,4,3,0.0,-1.0
2,4,4,0.0,-1.0
2,4,7,0.0,-0.333
2,4,8,-1.0,-1.0
2,4,10,-1.0,-0.176
2,4,11,0.0,-1.0
2,5,2,0.0,-1.0
2,5,3,0.0,0.429
2,5,4,0.0,-1.0
2,5,5,0.0,1.0
2,5,6,-1.0,-1.0
2,5,7,0.0,0.0
2,5,8,1.0,-1.0
2,5,9,0.0,-1.0
2,5,10,-0.059,-1.0
2,5,11,-1.0,0.0
2,6,2,0.0,-1.0
2,6,6,0.0,0.0
2,6,8,-1.0,0.0
2,6,9,1.0,0.0
2,6,10,-1.0,-0.154
2,6,11,0.333,-1.0
2,7,2,1.0,0.0
2,7,3,0.0,0.0
2,7,5,0.0,-1.0
2,7,6,-1.0,0.0
2,7,7,-1.0,0.0
2,7,8,-1.0,0.167
2,7,9,-1.0,0.0
2,7,10,-1.0,-0.222
2,7,11,0.0,1.0
2,8,2,0.0,1.0
2,8,3,-1.0,0.5
2,8,6,0.0,1.0
2,8,7,0.0,0.0
2,8,8,0.0,1.0
2,8,9,-1.0,0.0
2,8,10,0.0,0.643
2,8,11,1.0,0.0
2,10,2,0.0,1.0
2,10,3,-1.0,0.0
2,10,4,0.0,-1.0
2,10,5,1.0,-1.0
2,10,6,-0.333,1.0
2,10,7,-1.0,-1.0
2,10,8,-1.0,-1.0
2,10,10,-1.0,-0.379
2,10,11,1.0,0.0
2,11,2,-1.0,0.0
2,11,4,-0.333,-1.0
2,11,6,1.0,-1.0
2,11,7,-1.0,-1.0
2,11,8,-1.0,0.0
2,11,10,-1.0,-1.0
2,11,11,0.0,0.0
2,12,2,-0.5,0.0
2,12,3,0.0,-1.0
2,12,5,-0.5,-1.0
2,12,6,0.0,1.0
2,12,7,-1.0,-1.0
2,12,9,0.0,-1.0
2,12,10,-1.0,-0.429
2,12,11,0.0,1.0
2,13,2,1.0,-1.0
2,13,3,0.0,1.0
2,13,5,0.0,1.0
2,13,6,0.0,-1.0
2,13,7,-1.0,-1.0
2,13,8,0.0,-1.0
2,13,9,-1.0,0.0
2,13,10,-0.556,-1.0
2,13,11,0.0,-1.0
2,14,2,0.0,-1.0
2,14,5,-1.0,-1.0
2,14,6,-1.0,0.0
2,14,9,-1.0,0.0
2,15,2,0.0,-0.5
2,15,3,-1.0,0.0
2,15,5,0.0,0.0
2,15,6,0.0,1.0
2,15,8,-1.0,-1.0
2,15,10,-1.0,-0.125
2,15,11,0.0,0.0
2,16,8,0.0,-1.0
2,16,9,0.0,1.0
2,16,10,-1.0,1.0
2,16,11,0.0,0.5
2,17,2,0.0,1.0
2,17,3,0.0,0.0
2,17,4,1.0,0.0
2,17,6,0.0,-1.0
2,17,7,0.0,0.0
2,17,8,-1.0,0.0
2,17,10,0.0,1.0
2,18,5,0.0,1.0
2,18,7,-1.0,-1.0
2,18,9,-1.0,-1.0
3,0,3,-1.0,0.0
3,0,10,-1.0,-1.0
3,3,2,0.0,1.0
3,4,8,0.0,-1.0
3,4,10,-1.0,0.0
3,5,3,0.0,-1.0
3,5,10,0.0,0.0
3,6,8,-1.0,0.0
3,7,6,-1.0,0.0
3,7,10,0.0,0.0
3,9,10,-1.0,0.0
3,10,5,0.0,1.0
3,10,8,-1.0,0.0
3,10,10,-1.0,-1.0
3,11,2,0.0,-1.0
3,11,6,0.0,-1.0
3,13,8,0.0,-1.0
3,13,10,0.0,-1.0
3,15,8,-1.0,0.0
