Ace,Value,Dealer,Hit,Stay
0,4,2,-0.079,-0.315
0,4,3,-0.015,-0.242
0,4,4,-0.105,-0.383
0,4,5,-0.667,0.006
0,4,6,-0.142,-0.27
0,4,7,-0.224,-1.0
0,4,8,-0.157,-0.208
0,4,9,-0.313,-1.0
0,4,10,-0.207,-0.329
0,4,11,-0.207,-1.0
0,5,2,-0.089,-0.103
0,5,3,-0.047,-1.0
0,5,4,-0.125,-1.0
0,5,5,-0.056,-0.163
0,5,6,-0.11,0.0
0,5,7,-0.125,-0.25
0,5,8,-0.158,-0.32
0,5,9,-0.321,-0.599
0,5,10,-0.211,-1.0
0,5,11,-0.236,0.0
0,6,2,-0.041,-0.074
0,6,3,-0.131,-0.333
0,6,4,-0.306,-0.577
0,6,5,-0.136,-0.077
0,6,6,0.0,-0.046
0,6,7,-0.118,-0.5
0,6,8,-0.187,-0.254
0,6,9,-0.654,-0.246
0,6,10,-0.214,-0.251
0,6,11,-0.252,-1.0
0,7,2,-0.16,-0.563
0,7,3,-0.15,-0.316
0,7,4,0.0,-0.062
0,7,5,-0.04,-0.111
0,7,6,-0.058,0.0
0,7,7,-0.089,-0.325
0,7,8,-0.163,-1.0
0,7,9,-0.387,-0.521
0,7,10,-0.204,-0.321
0,7,11,-0.292,-0.254
0,8,2,-0.205,-1.0
0,8,3,-0.032,-0.169
0,8,4,-0.086,-0.246
0,8,5,-0.137,0.06
0,8,6,0.001,-1.0
0,8,7,-0.191,-0.656
0,8,8,-0.076,0.0
0,8,9,-0.428,-1.0
0,8,10,-0.167,-0.206
0,8,11,-0.237,-0.599
0,9,2,-0.033,-0.5
0,9,3,-0.001,-1.0
0,9,4,-0.033,-0.261
0,9,5,0.031,-0.5
0,9,6,0.04,-0.072
0,9,7,0.006,-0.5
0,9,8,-0.002,-0.554
0,9,9,-0.168,-0.572
0,9,10,-0.243,-0.333
0,9,11,-0.5,-0.234
0,10,2,0.082,-0.667
0,10,3,0.104,-0.113
0,10,4,0.032,-0.037
0,10,5,0.108,-0.125
0,10,6,-0.244,-0.028
0,10,7,0.047,-0.257
0,10,8,0.09,-0.244
0,10,9,-0.038,-1.0
0,10,10,-0.013,-0.333
0,10,11,-0.014,-0.471
0,11,2,0.146,0.0
0,11,3,0.192,-0.5
0,11,4,0.137,-0.018
0,11,5,0.198,0.0
0,11,6,0.201,0.0
0,11,7,0.178,-1.0
0,11,8,0.149,-0.5
0,11,9,0.062,-1.0
0,11,10,0.085,-0.5
0,11,11,0.094,-0.376
0,12,2,-0.235,-0.5
0,12,3,-0.333,-0.089
0,12,4,-0.444,-0.083
0,12,5,-0.201,-1.0
0,12,6,-0.5,-0.059
0,12,7,-1.0,-0.256
0,12,8,-0.241,-0.5
0,12,9,-0.337,-0.5
0,12,10,-0.5,-0.279
0,12,11,-0.275,-0.378
0,13,2,-0.26,-1.0
0,13,3,-1.0,-0.095
0,13,4,-0.285,-0.5
0,13,5,-0.547,-0.051
0,13,6,-0.246,-0.333
0,13,7,-0.266,-0.299
0,13,8,-0.414,-0.275
0,13,9,-0.318,-1.0
0,13,10,-0.333,-0.277
0,13,11,-0.312,-0.74
0,14,2,-0.5,-0.119
0,14,3,-0.403,-0.098
0,14,4,-0.5,-0.093
0,14,5,-0.297,0.0
0,14,6,-0.264,-0.316
0,14,7,-0.299,-1.0
0,14,8,-0.625,-0.262
0,14,9,-0.337,-0.5
0,14,10,-0.325,-0.356
0,14,11,-1.0,-0.23
0,15,2,-0.833,-0.115
0,15,3,-1.0,-0.13
0,15,4,-0.308,-0.072
0,15,5,-0.333,-0.073
0,15,6,-0.302,-1.0
0,15,7,-0.406,-0.264
0,15,8,-0.301,-0.566
0,15,9,-0.373,-1.0
0,15,10,-0.354,-1.0
0,15,11,-0.344,-0.467
0,16,2,-0.5,-0.093
0,16,3,-0.325,-0.667
0,16,4,-0.315,-0.214
0,16,5,-0.326,-1.0
0,16,6,-0.5,-0.075
0,16,7,-0.625,-0.246
0,16,8,-0.353,-0.75
0,16,9,-0.5,-0.273
0,16,10,-0.714,-0.29
0,16,11,-0.388,-0.5
0,17,2,-0.342,-1.0
0,17,3,-0.373,-0.5
0,17,4,-0.381,-1.0
0,17,5,-0.472,-0.034
0,17,6,-0.337,-0.017
0,17,7,-1.0,-0.078
0,17,8,-0.588,-0.231
0,17,9,-0.354,-0.25
0,17,10,-0.833,-0.234
0,17,11,-0.371,-1.0
0,18,2,-0.432,-0.504
0,18,3,-0.5,0.06
0,18,4,-1.0,0.067
0,18,5,-1.0,0.068
0,18,6,-0.129,0.105
0,18,7,-0.393,-1.0
0,18,8,-0.25,0.032
0,18,9,-0.375,-1.0
0,18,10,-1.0,-0.117
0,18,11,-0.37,-1.0
0,19,2,-1.0,0.177
0,19,3,-0.498,0.145
0,19,4,-0.326,0.155
0,19,5,-1.0,0.196
0,19,6,-0.367,0.194
0,19,7,-0.5,0.243
0,19,8,0.0,0.241
0,19,9,-0.25,0.085
0,19,10,-0.425,-0.5
0,19,11,-1.0,0.162
0,20,2,0.0,0.266
0,20,3,-0.378,0.268
0,20,4,-1.0,0.277
0,20,5,0.0,0.28
0,20,6,-0.167,0.298
0,20,7,0.0,0.317
0,20,8,0.0,0.332
0,20,9,0.0,0.308
0,20,10,0.0,0.229
0,20,11,-1.0,0.304
1,2,2,-0.05,-0.109
1,2,3,0.064,-1.0
1,2,4,-0.24,-0.05
1,2,5,-0.008,-0.68
1,2,6,0.054,-0.017
1,2,7,-0.065,-0.559
1,2,8,-0.049,-0.532
1,2,9,0.001,-1.0
1,2,10,-0.053,-0.5
1,2,11,0.028,-0.218
1,3,2,-0.003,-0.553
1,3,3,0.05,0.0
1,3,4,0.08,0.0
1,3,5,0.081,-0.551
1,3,6,-0.016,-0.216
1,3,7,0.001,-0.246
1,3,8,-0.018,-0.121
1,3,9,-0.038,-0.474
1,3,10,-0.055,-1.0
1,3,11,0.015,-0.2
1,4,2,-0.214,-0.085
1,4,3,-0.052,-0.178
1,4,4,0.054,-1.0
1,4,5,-0.042,0.0
1,4,6,-0.5,-0.092
1,4,7,-0.01,0.0
1,4,8,-0.051,0.0
1,4,9,-0.067,-0.292
1,4,10,-0.093,-0.267
