Ace,Value,Dealer,Hit,Stay
0,4,2,-0.128,-1.0
0,4,3,-1.0,-0.149
0,4,4,-0.081,-0.25
0,4,5,-1.0,-0.149
0,4,6,0.072,0.0
0,4,7,-0.322,-1.0
0,4,8,-0.306,-1.0
0,4,9,-0.274,-1.0
0,4,10,-1.0,-0.462
0,4,11,-0.268,-1.0
0,5,2,-0.186,-1.0
0,5,3,-0.169,-1.0
0,5,4,-0.109,-1.0
0,5,5,-0.333,-0.088
0,5,6,-1.0,-0.092
0,5,7,-0.284,-1.0
0,5,8,-0.263,-1.0
0,5,9,-0.244,-1.0
0,5,10,-1.0,-0.516
0,5,11,-0.319,-1.0
0,6,2,-0.444,-0.122
0,6,3,-1.0,-0.124
0,6,4,-0.236,-1.0
0,6,5,-0.333,-0.017
0,6,6,0.085,-1.0
0,6,7,-1.0,-0.402
0,6,8,-0.352,-1.0
0,6,9,-0.271,-1.0
0,6,10,-1.0,-0.502
0,6,11,-1.0,-0.458
0,7,2,-0.2,-1.0
0,7,3,-0.292,-1.0
0,7,4,-0.168,-1.0
0,7,5,-1.0,0.084
0,7,6,-1.0,-0.024
0,7,7,-0.266,-1.0
0,7,8,-0.303,-1.0
0,7,9,-0.272,-1.0
0,7,10,-1.0,-0.497
0,7,11,-0.181,-1.0
0,8,2,-1.0,-0.173
0,8,3,-0.058,-1.0
0,8,4,-0.111,-0.055
0,8,5,-0.25,-0.026
0,8,6,-1.0,-0.098
0,8,7,-1.0,-0.467
0,8,8,-1.0,-0.533
0,8,9,-0.209,-1.0
0,8,10,-1.0,-0.512
0,8,11,-0.051,-1.0
0,9,2,-1.0,-0.122
0,9,3,-1.0,-0.129
0,9,4,0.093,-0.333
0,9,5,-1.0,-0.049
0,9,6,-1.0,-0.033
0,9,7,-0.301,-1.0
0,9,8,-1.0,-0.45
0,9,9,-0.031,-1.0
0,9,10,-0.122,-1.0
0,9,11,-0.017,-1.0
0,10,2,0.209,0.0
0,10,3,0.222,-1.0
0,10,4,0.241,0.0
0,10,5,0.0,0.029
0,10,6,0.277,-1.0
0,10,7,0.172,-1.0
0,10,8,0.214,-1.0
0,10,9,0.123,-1.0
0,10,10,0.044,-0.333
0,10,11,-1.0,-0.385
0,11,2,0.325,-0.091
0,11,3,0.269,-0.333
0,11,4,-1.0,-0.042
0,11,5,-1.0,-0.038
0,11,6,0.394,0.0
0,11,7,-1.0,-0.43
0,11,8,0.246,-1.0
0,11,9,0.144,-0.333
0,11,10,0.127,-1.0
0,11,11,0.312,-1.0
0,12,2,-0.25,-1.0
0,12,3,-1.0,-0.159
0,12,4,-0.333,-0.076
0,12,5,-1.0,-0.025
0,12,6,-1.0,-0.07
0,12,7,-0.317,-0.5
0,12,8,-0.308,-1.0
0,12,9,-0.359,-1.0
0,12,10,-0.375,-1.0
0,12,11,-0.317,-1.0
0,13,2,-0.278,-1.0
0,13,3,-0.38,-0.6
0,13,4,-0.303,-1.0
0,13,5,-0.239,-1.0
0,13,6,-1.0,-0.075
0,13,7,-0.398,-1.0
0,13,8,-0.369,-1.0
0,13,9,-1.0,-0.498
0,13,10,-0.408,-1.0
0,13,11,-0.377,-1.0
0,14,2,-0.34,-1.0
0,14,3,-1.0,-0.161
0,14,4,-1.0,-0.013
0,14,5,-0.317,-1.0
0,14,6,-1.0,-0.025
0,14,7,-0.424,-1.0
0,14,8,-0.398,-1.0
0,14,9,-0.412,-1.0
0,14,10,-1.0,-0.493
0,14,11,-1.0,-0.422
0,15,2,-0.384,-1.0
0,15,3,-0.444,-1.0
0,15,4,-0.333,-0.064
0,15,5,-0.376,-1.0
0,15,6,-1.0,-0.083
0,15,7,-1.0,-0.41
0,15,8,-1.0,-0.509
0,15,9,-1.0,-0.496
0,15,10,-0.504,-1.0
0,15,11,-0.404,-1.0
0,16,2,-0.441,-1.0
0,16,3,-0.448,-0.5
0,16,4,-0.458,-1.0
0,16,5,-0.404,-1.0
0,16,6,-1.0,-0.051
0,16,7,-1.0,-0.431
0,16,8,-1.0,-0.469
0,16,9,-1.0,-0.49
0,16,10,-0.6,-0.513
0,16,11,-0.43,-1.0
0,17,2,-1.0,-0.052
0,17,3,-0.529,-1.0
0,17,4,-0.524,-1.0
0,17,5,-1.0,0.086
0,17,6,-0.553,-1.0
0,17,7,-1.0,-0.066
0,17,8,-0.484,-1.0
0,17,9,-1.0,-0.347
0,17,10,-1.0,-0.39
0,17,11,-0.333,-0.22
0,18,2,-0.333,0.212
0,18,3,-1.0,0.191
0,18,4,0.0,0.251
0,18,5,-1.0,0.288
0,18,6,-1.0,0.313
0,18,7,0.0,0.433
0,18,8,-1.0,0.093
0,18,9,-1.0,-0.174
0,18,10,-1.0,-0.132
0,18,11,-1.0,0.099
0,19,2,-1.0,0.448
0,19,3,0.0,0.453
0,19,4,-1.0,0.451
0,19,5,-1.0,0.47
0,19,6,-1.0,0.511
0,19,7,-0.671,-1.0
0,19,8,0.0,0.595
0,19,9,-1.0,0.282
0,19,10,-1.0,0.097
0,19,11,-1.0,0.425
0,20,2,-1.0,0.677
0,20,3,0.0,0.647
0,20,4,-1.0,0.694
0,20,5,0.0,0.711
0,20,6,-1.0,0.687
0,20,7,0.0,0.769
0,20,8,-1.0,0.793
0,20,9,-1.0,0.749
0,20,10,-1.0,0.592
0,20,11,-1.0,0.748
1,2,2,0.077,-1.0
1,2,3,0.146,-1.0
1,2,4,0.013,-1.0
1,2,5,0.214,0.0
1,2,6,0.153,-1.0
1,2,7,-1.0,-0.488
1,2,8,-0.094,-1.0
1,2,9,-0.063,-0.333
1,2,10,-0.226,-1.0
1,2,11,-1.0,-0.42
1,3,2,0.007,-1.0
1,3,3,0.0,-0.333
1,3,4,0.05,-0.053
1,3,5,0.185,0.0
1,3,6,-0.333,-0.066
1,3,7,-1.0,-0.452
1,3,8,-0.014,-1.0
1,3,9,-1.0,-0.438
1,3,10,-1.0,-0.449
1,3,11,-0.029,-1.0
1,4,2,-0.5,-0.172
1,4,3,-1.0,-0.198
1,4,4,-1.0,-0.042
1,4,5,0.14,-0.333
1,4,6,0.118,-1.0
1,4,7,-0.052,-1.0
1,4,8,0.031,-1.0
1,4,9,-0.156,-1.0
1,4,10,-0.252,-1.0
1,4,11,-0.109,-1.0
1,5,2,-0.009,-0.333
1,5,3,0.042,-1.0
1,5,4,-0.333,-0.003
1,5,5,0.176,0.0
1,5,6,0.067,0.0
1,5,7,-1.0,-0.352
1,5,8,-0.132,-1.0
1,5,9,-0.178,-1.0
1,5,10,-1.0,-0.556
1,5,11,-0.269,-1.0
1,6,2,-1.0,-0.05
1,6,3,0.113,-1.0
1,6,4,-0.112,-0.333
1,6,5,0.154,0.0
1,6,6,0.204,-1.0
1,6,7,-0.333,-0.004
1,6,8,-0.169,-1.0
1,6,9,-1.0,-0.332
1,6,10,-1.0,-0.4
1,6,11,-1.0,-0.102
1,7,2,-0.195,-1.0
1,7,3,-1.0,0.22
1,7,4,-1.0,0.263
1,7,5,0.289,0.0
1,7,6,-0.13,-1.0
1,7,7,0.153,-1.0
1,7,8,-1.0,0.139
1,7,9,-0.109,-0.2
1,7,10,-1.0,-0.138
1,7,11,-1.0,0.015
1,8,2,-0.333,0.437
1,8,3,0.0,0.412
1,8,4,0.0,0.429
1,8,5,0.0,0.516
1,8,6,-1.0,0.5
1,8,7,-1.0,0.566
1,8,8,-1.0,0.56
1,8,9,-1.0,0.359
1,8,10,-0.101,-0.235
1,8,11,-1.0,0.46
1,9,2,0.0,0.77
1,9,3,-0.333,0.685
1,9,4,0.0,0.715
1,9,5,-0.333,0.69
1,9,6,-1.0,0.73
1,9,7,0.0,0.744
1,9,8,-1.0,0.83
1,9,9,0.0,0.786
1,9,10,0.0,0.563
1,9,11,-1.0,0.739
1,11,2,-0.194,-1.0
1,11,3,-0.2,-1.0
1,11,4,-0.351,-0.429
1,11,5,-1.0,0.076
1,11,6,-0.251,-1.0
1,11,7,-0.27,-1.0
1,11,8,-1.0,-0.392
1,11,9,-0.249,-1.0
1,11,10,-0.485,-1.0
1,11,11,-0.25,-1.0
1,12,2,-0.5,-0.187
1,12,3,-0.174,-1.0
1,12,4,-0.266,-1.0
1,12,5,-0.125,-0.099
1,12,6,-0.303,-1.0
1,12,7,-0.6,-0.568
1,12,8,-1.0,-0.484
1,12,9,-0.424,-1.0
1,12,10,-1.0,-0.512
1,12,11,-0.216,-1.0
1,13,2,-1.0,-0.145
1,13,3,-0.362,-1.0
1,13,4,-0.284,-1.0
1,13,5,-1.0,0.015
1,13,6,-1.0,-0.033
1,13,7,-0.336,-1.0
1,13,8,-1.0,-0.548
1,13,9,-1.0,-0.524
1,13,10,-0.503,-1.0
1,13,11,-1.0,-0.36
1,14,2,-1.0,-0.212
1,14,3,-1.0,-0.075
1,14,4,-1.0,-0.07
1,14,5,-1.0,0.039
1,14,6,-1.0,-0.013
1,14,7,-0.304,-1.0
1,14,8,-1.0,-0.436
1,14,9,-1.0,-0.47
1,14,10,-1.0,-0.53
1,14,11,-1.0,-0.364
1,15,2,-1.0,-0.252
1,15,3,-1.0,-0.138
1,15,4,-0.333,0.149
1,15,5,-1.0,-0.079
1,15,6,-0.333,-0.006
1,15,7,-0.356,-1.0
1,15,8,-0.53,-1.0
1,15,9,-1.0,-0.522
1,15,10,-0.607,-1.0
1,15,11,-0.588,-0.6
1,16,2,-1.0,-0.062
1,16,3,-1.0,-0.169
1,16,4,-0.538,-1.0
1,16,5,0.0,0.04
1,16,6,-1.0,0.173
1,16,7,-0.333,0.069
1,16,8,-0.465,-1.0
1,16,9,-1.0,-0.318
1,16,10,-1.0,-0.429
1,16,11,-1.0,-0.235
1,17,2,-0.552,-1.0
1,17,3,-1.0,0.231
1,17,4,-1.0,0.363
1,17,5,-1.0,0.281
1,17,6,-0.571,-1.0
1,17,7,0.0,0.44
1,17,8,-1.0,0.18
1,17,9,-1.0,-0.146
1,17,10,-0.725,-1.0
1,17,11,-1.0,-0.053
1,18,2,0.0,0.667
1,18,3,0.0,0.541
1,18,4,-1.0,0.609
1,18,6,0.0,0.37
1,18,7,-1.0,0.623
1,18,8,-1.0,0.56
1,18,9,-1.0,0.111
1,18,10,-1.0,0.096
1,18,11,0.0,0.37
1,19,2,0.0,0.838
1,19,3,-1.0,0.649
1,19,4,0.0,0.738
1,19,5,-1.0,1.0
1,19,6,-1.0,0.758
1,19,7,0.0,0.845
1,19,8,-1.0,0.85
1,19,9,-1.0,0.659
1,19,10,0.0,0.558
1,19,11,-1.0,0.697
2,0,2,-1.0,-0.223
2,0,3,0.017,-1.0
2,0,4,-1.0,-0.294
2,0,5,-0.333,-0.105
2,0,6,0.242,-1.0
2,0,7,-0.009,-1.0
2,0,8,-0.02,-1.0
2,0,9,0.02,-0.333
2,0,10,-0.222,-1.0
2,0,11,-0.116,-0.333
2,2,2,0.091,-1.0
2,2,3,-0.16,-1.0
2,2,4,-1.0,-0.231
2,2,5,0.375,-1.0
2,2,6,-0.233,-1.0
2,2,7,-0.111,-1.0
2,2,8,-0.333,-1.0
2,2,9,0.211,-1.0
2,2,10,-1.0,-0.628
2,2,11,-1.0,-1.0
2,3,2,-0.2,0.0
2,3,3,0.154,-1.0
