Ace,Value,Dealer,Hit,Stay
0,4,2,-0.026,-0.629
0,4,3,0.014,-0.389
0,4,4,-0.001,-0.424
0,4,5,0.014,-0.54
0,4,6,-0.05,-0.516
0,4,7,-0.084,-0.186
0,4,8,-0.092,-0.401
0,4,9,-0.133,-0.446
0,4,10,-0.124,-0.303
0,4,11,-0.163,-0.513
0,5,2,-0.01,-0.109
0,5,3,-0.001,-0.615
0,5,4,-0.015,-0.086
0,5,5,-0.066,-0.25
0,5,6,-0.093,-0.439
0,5,7,-0.096,-0.371
0,5,8,-0.122,-0.456
0,5,9,-0.151,-0.198
0,5,10,-0.14,-0.56
0,5,11,-0.284,-0.148
0,6,2,-0.015,-0.443
0,6,3,-0.333,-0.047
0,6,4,-0.007,-0.029
0,6,5,-0.013,-0.001
0,6,6,-0.01,-0.62
0,6,7,-0.122,-0.674
0,6,8,-0.16,-0.345
0,6,9,-0.154,-0.648
0,6,10,-0.173,-0.5
0,6,11,-0.165,-0.222
0,7,2,-0.004,-0.043
0,7,3,-0.011,-0.03
0,7,4,-0.114,-0.171
0,7,5,-0.112,0.023
0,7,6,-0.009,-0.389
0,7,7,-0.044,-0.5
0,7,8,-0.13,-0.576
0,7,9,-0.154,-0.221
0,7,10,-0.152,-0.384
0,7,11,-0.398,-0.201
0,8,2,0.027,0.0
0,8,3,0.027,0.0
0,8,4,0.018,-0.15
0,8,5,0.036,-0.396
0,8,6,0.042,-0.049
0,8,7,0.03,-0.357
0,8,8,-0.193,-0.299
0,8,9,-0.119,-0.5
0,8,10,-0.131,-0.75
0,8,11,-0.115,-0.228
0,9,2,0.057,0.0
0,9,3,0.063,-0.5
0,9,4,-0.411,-0.02
0,9,5,-0.12,-0.041
0,9,6,-0.171,-0.044
0,9,7,0.044,0.0
0,9,8,0.002,-0.5
0,9,9,-0.054,-0.5
0,9,10,-0.073,-0.127
0,9,11,-0.044,-0.236
0,10,2,0.15,-0.013
0,10,3,0.164,-0.013
0,10,4,0.088,-0.543
0,10,5,0.154,0.0
0,10,6,0.143,-0.634
0,10,7,0.141,-0.386
0,10,8,0.089,-0.5
0,10,9,0.088,-0.5
0,10,10,0.047,-0.5
0,10,11,0.081,-0.334
0,11,2,0.255,-0.5
0,11,3,0.225,0.0
0,11,4,0.199,-0.591
0,11,5,0.208,-0.116
0,11,6,0.237,-0.022
0,11,7,0.212,-0.154
0,11,8,0.176,-0.5
0,11,9,0.155,-0.382
0,11,10,0.146,-0.5
0,11,11,0.167,-0.5
0,12,2,-0.166,-0.507
0,12,3,-0.25,-0.066
0,12,4,-0.215,-0.5
0,12,5,-0.5,-0.017
0,12,6,-0.167,-0.5
0,12,7,-0.186,-0.459
0,12,8,-0.58,-0.25
0,12,9,-0.5,-0.252
0,12,10,-0.215,-0.5
0,12,11,-0.5,-0.203
0,13,2,-0.109,-0.099
0,13,3,-0.205,-0.5
0,13,4,-0.25,-0.049
0,13,5,-0.207,-0.741
0,13,6,-0.3,-0.033
0,13,7,-0.234,-0.5
0,13,8,-0.264,-0.74
0,13,9,-0.25,-0.5
0,13,10,-0.247,-0.5
0,13,11,-0.233,-0.5
0,14,2,-0.343,-0.105
0,14,3,-0.12,-0.079
0,14,4,-0.206,-0.042
0,14,5,-0.423,-0.029
0,14,6,-0.225,-0.5
0,14,7,-0.275,-0.75
0,14,8,-0.273,-0.667
0,14,9,-0.278,-0.5
0,14,10,-0.333,-0.247
0,14,11,-0.27,-0.5
0,15,2,-0.15,-0.092
0,15,3,-0.62,-0.063
0,15,4,-0.503,-0.05
0,15,5,-0.272,-0.5
0,15,6,-0.268,-0.5
0,15,7,-0.254,-0.518
0,15,8,-0.333,-0.241
0,15,9,-0.3,-0.5
0,15,10,-0.5,-0.245
0,15,11,-0.302,-0.668
0,16,2,-0.5,-0.086
0,16,3,-0.477,-0.074
0,16,4,-0.5,-0.047
0,16,5,-0.307,-0.021
0,16,6,-0.5,-0.038
0,16,7,-0.26,-0.477
0,16,8,-0.303,-0.441
0,16,9,-0.5,-0.258
0,16,10,-0.311,-0.5
0,16,11,-0.292,-0.465
0,17,2,-0.505,-0.026
0,17,3,-0.5,-0.017
0,17,4,-0.368,-0.667
0,17,5,-0.317,-0.406
0,17,6,-0.259,0.024
0,17,7,-0.329,-0.049
0,17,8,-0.2,-0.189
0,17,9,-0.381,-0.196
0,17,10,-0.5,-0.189
0,17,11,-0.331,-0.75
0,18,2,-0.649,0.089
0,18,3,-0.274,0.1
0,18,4,-0.5,0.097
0,18,5,-0.298,0.13
0,18,6,-0.5,0.139
0,18,7,-0.385,0.18
0,18,8,-0.343,-0.344
0,18,9,-0.34,-0.103
0,18,10,-0.667,-0.092
0,18,11,-0.274,0.027
0,19,2,0.0,0.182
0,19,3,-0.688,0.188
0,19,4,-0.378,-0.5
0,19,5,0.0,0.228
0,19,6,-0.5,0.243
0,19,7,0.0,0.299
0,19,8,-0.5,0.27
0,19,9,-0.6,0.119
0,19,10,0.0,0.029
0,19,11,0.0,0.189
0,20,2,0.0,0.301
0,20,3,-0.5,0.305
0,20,4,-0.2,0.295
0,20,5,-0.464,0.32
0,20,6,0.0,0.324
0,20,7,0.0,0.365
0,20,8,-0.5,0.353
0,20,9,-0.5,0.345
0,20,10,-0.5,0.262
0,20,11,-0.549,0.334
1,2,2,0.02,-0.1
1,2,3,0.073,-0.519
1,2,4,0.093,-0.169
1,2,5,0.076,-0.005
1,2,6,0.132,-0.0
1,2,7,0.072,-0.627
1,2,8,-0.325,-0.199
1,2,9,-0.006,-0.667
1,2,10,-0.021,-0.25
1,2,11,-0.022,-0.632
1,3,2,-0.479,-0.113
1,3,3,0.056,-0.5
1,3,4,0.089,-0.542
1,3,5,0.116,-0.502
1,3,6,-0.5,-0.068
1,3,7,-0.013,-0.56
1,3,8,-0.038,-0.322
1,3,9,-0.035,-0.372
1,3,10,-0.045,-0.167
1,3,11,-0.077,-0.397
1,4,2,-0.055,-0.774
