Ace,Value,Dealer,Hit,Stay
0,4,2,-0.432,-0.145
0,4,3,-0.388,-0.522
0,4,4,-0.36,-0.534
0,4,5,-0.396,-0.576
0,4,6,-0.406,-0.493
0,4,7,-0.547,-0.5
0,4,8,-0.615,-0.798
0,4,9,-0.628,-0.81
0,4,10,-0.65,-0.873
0,4,11,-0.498,-0.773
0,5,2,-0.43,-0.491
0,5,3,-0.371,-0.39
0,5,4,-0.407,-0.279
0,5,5,-0.393,-0.443
0,5,6,-0.412,-0.501
0,5,7,-0.529,-0.718
0,5,8,-0.628,-0.825
0,5,9,-0.629,-0.763
0,5,10,-0.632,-0.794
0,5,11,-0.504,-0.703
0,6,2,-0.465,-0.466
0,6,3,-0.446,-0.573
0,6,4,-0.41,-0.41
0,6,5,-0.402,-0.472
0,6,6,-0.403,-0.436
0,6,7,-0.586,-0.657
0,6,8,-0.633,-0.745
0,6,9,-0.634,-0.88
0,6,10,-0.63,-0.868
0,6,11,-0.548,-0.642
0,7,2,-0.422,-0.583
0,7,3,-0.395,-0.58
0,7,4,-0.382,-0.558
0,7,5,-0.398,-0.533
0,7,6,-0.377,-0.508
0,7,7,-0.46,-0.767
0,7,8,-0.575,-0.746
0,7,9,-0.625,-0.858
0,7,10,-0.614,-0.94
0,7,11,-0.491,-0.648
0,8,2,-0.394,-0.529
0,8,3,-0.406,-0.416
0,8,4,-0.366,-0.375
0,8,5,-0.399,-0.367
0,8,6,-0.365,-0.43
0,8,7,-0.443,-0.824
0,8,8,-0.54,-0.841
0,8,9,-0.524,-0.869
0,8,10,-0.574,-0.923
0,8,11,-0.431,-0.648
0,9,2,-0.378,-0.417
0,9,3,-0.325,-0.403
0,9,4,-0.36,-0.406
0,9,5,-0.301,-0.494
0,9,6,-0.348,-0.383
0,9,7,-0.381,-0.758
0,9,8,-0.431,-0.893
0,9,9,-0.501,-0.862
0,9,10,-0.513,-0.848
0,9,11,-0.401,-0.656
0,10,2,-0.286,-0.414
0,10,3,-0.282,-0.539
0,10,4,-0.256,-0.448
0,10,5,-0.237,-0.482
0,10,6,-0.244,-0.48
0,10,7,-0.293,-0.716
0,10,8,-0.286,-0.778
0,10,9,-0.354,-0.836
0,10,10,-0.36,-0.859
0,10,11,-0.324,-0.659
0,11,2,-0.113,-0.405
0,11,3,-0.078,-0.484
0,11,4,-0.06,-0.474
0,11,5,-0.063,-0.474
0,11,6,-0.057,-0.417
0,11,7,-0.138,-0.769
0,11,8,-0.137,-0.92
0,11,9,-0.182,-0.759
0,11,10,-0.17,-0.867
0,11,11,-0.101,-0.661
0,12,2,-0.455,-0.559
0,12,3,-0.482,-0.492
0,12,4,-0.46,-0.507
0,12,5,-0.433,-0.494
0,12,6,-0.444,-0.491
0,12,7,-0.516,-0.731
0,12,8,-0.534,-0.783
0,12,9,-0.539,-0.875
0,12,10,-0.541,-0.837
0,12,11,-0.486,-0.82
0,13,2,-0.485,-0.616
0,13,3,-0.492,-0.532
0,13,4,-0.501,-0.481
0,13,5,-0.491,-0.465
0,13,6,-0.458,-0.43
0,13,7,-0.496,-0.743
0,13,8,-0.55,-0.859
0,13,9,-0.529,-0.838
