Ace,Value,Dealer,Hit,Stay
0,4,2,-0.328,-0.269
0,4,3,-0.387,-0.493
0,4,4,-0.205,-0.257
0,4,5,-0.312,-0.052
0,4,6,-0.294,-0.47
0,4,7,-0.509,-0.733
0,4,8,-0.553,-0.818
0,4,9,-0.514,-0.589
0,4,10,-0.575,-0.63
0,4,11,-0.503,-1.1
0,5,2,-0.342,-0.439
0,5,3,-0.485,-0.709
0,5,4,-0.338,-0.289
0,5,5,-0.324,-0.118
0,5,6,-0.345,0.078
0,5,7,-0.546,-0.469
0,5,8,-0.536,-0.939
0,5,9,-0.657,-0.761
0,5,10,-0.628,-0.858
0,5,11,-0.519,-0.759
0,6,2,-0.328,-0.469
0,6,3,-0.391,-0.321
0,6,4,-0.284,-0.488
0,6,5,-0.335,-0.239
0,6,6,-0.351,-0.365
0,6,7,-0.545,-0.79
0,6,8,-0.469,-0.625
0,6,9,-0.545,-0.895
0,6,10,-0.573,-0.743
0,6,11,-0.469,-0.385
0,7,2,-0.284,-0.421
0,7,3,-0.348,-0.402
0,7,4,-0.287,-0.34
0,7,5,-0.35,-0.131
0,7,6,-0.288,-0.29
0,7,7,-0.387,-0.645
0,7,8,-0.456,-0.813
0,7,9,-0.431,-0.637
0,7,10,-0.554,-0.727
0,7,11,-0.53,-0.374
0,8,2,-0.325,-0.444
0,8,3,-0.316,-0.449
0,8,4,-0.224,-0.489
0,8,5,-0.314,-0.563
0,8,6,-0.337,-0.519
0,8,7,-0.427,-0.944
0,8,8,-0.405,-0.749
0,8,9,-0.4,-0.448
0,8,10,-0.539,-0.809
0,8,11,-0.385,-0.66
0,9,2,-0.305,-0.661
0,9,3,-0.286,-0.398
0,9,4,-0.254,-0.224
0,9,5,-0.309,-0.5
0,9,6,-0.252,-0.326
0,9,7,-0.321,-0.825
0,9,8,-0.272,-0.709
0,9,9,-0.357,-0.638
0,9,10,-0.493,-0.709
0,9,11,-0.374,-0.895
0,10,2,-0.272,-0.402
0,10,3,-0.233,-0.505
0,10,4,-0.106,-0.48
0,10,5,-0.215,-0.538
0,10,6,-0.139,-0.279
0,10,7,-0.117,-0.677
0,10,8,-0.231,-0.771
0,10,9,-0.21,-0.665
0,10,10,-0.345,-0.824
0,10,11,-0.206,-0.663
0,11,2,-0.038,-0.438
0,11,3,-0.011,-0.343
0,11,4,-0.015,-0.252
0,11,5,-0.044,-0.343
0,11,6,-0.124,-0.39
0,11,7,-0.045,-0.859
0,11,8,-0.13,-0.681
0,11,9,-0.061,-0.762
0,11,10,-0.134,-0.871
0,11,11,-0.102,-0.596
0,12,2,-0.418,-0.559
0,12,3,-0.456,-0.345
0,12,4,-0.355,-0.436
0,12,5,-0.343,-0.26
0,12,6,-0.334,-0.437
0,12,7,-0.423,-0.622
0,12,8,-0.484,-0.71
0,12,9,-0.476,-0.849
0,12,10,-0.52,-0.82
0,12,11,-0.424,-0.65
0,13,2,-0.46,-0.354
0,13,3,-0.453,-0.435
0,13,4,-0.392,-0.405
0,13,5,-0.452,-0.338
0,13,6,-0.429,-0.326
0,13,7,-0.491,-0.747
0,13,8,-0.507,-0.778
0,13,9,-0.516,-0.792
0,13,10,-0.524,-0.711
0,13,11,-0.515,-0.725
0,14,2,-0.473,-0.383
0,14,3,-0.483,-0.392
0,14,4,-0.435,-0.406
0,14,5,-0.481,-0.246
0,14,6,-0.458,-0.367
0,14,7,-0.469,-0.595
0,14,8,-0.429,-0.704
0,14,9,-0.424,-0.759
0,14,10,-0.494,-0.825
0,14,11,-0.445,-0.661
0,15,2,-0.486,-0.373
0,15,3,-0.438,-0.556
0,15,4,-0.505,-0.393
0,15,5,-0.52,-0.328
0,15,6,-0.513,-0.465
0,15,7,-0.455,-0.72
0,15,8,-0.492,-0.73
0,15,9,-0.512,-0.932
0,15,10,-0.557,-0.803
0,15,11,-0.474,-0.734
0,16,2,-0.488,-0.398
0,16,3,-0.521,-0.438
0,16,4,-0.419,-0.285
0,16,5,-0.505,-0.357
0,16,6,-0.448,-0.504
0,16,7,-0.554,-0.67
0,16,8,-0.502,-0.616
0,16,9,-0.576,-0.808
0,16,10,-0.558,-0.805
0,16,11,-0.482,-0.72
0,17,2,-0.497,-0.185
0,17,3,-0.532,-0.392
0,17,4,-0.559,-0.277
0,17,5,-0.587,-0.2
0,17,6,-0.535,-0.258
