Ace,Value,Dealer,Hit,Stay
0,4,2,-0.032,-0.5
0,4,3,-0.158,-0.056
0,4,4,-0.006,-0.741
0,4,5,0.004,0.0
0,4,6,-0.006,-0.497
0,4,7,-0.076,-0.5
0,4,8,-0.091,-0.596
0,4,9,-0.141,-0.734
0,4,10,-0.139,-0.551
0,4,11,-0.082,-0.193
0,5,2,-0.01,-0.558
0,5,3,-0.021,-0.514
0,5,4,-0.01,-0.608
0,5,5,-0.007,-0.5
0,5,6,-0.018,-0.5
0,5,7,-0.102,-0.5
0,5,8,-0.132,-0.468
0,5,9,-0.185,-0.528
0,5,10,-0.16,-0.462
0,5,11,-0.139,-0.618
0,6,2,-0.22,-0.14
0,6,3,-0.113,-0.142
0,6,4,-0.012,-0.115
0,6,5,-0.01,-0.115
0,6,6,-0.094,-0.167
0,6,7,-0.115,-0.263
0,6,8,-0.128,-0.161
0,6,9,-0.172,-0.636
0,6,10,-0.176,-0.454
0,6,11,-0.161,-0.488
0,7,2,-0.127,-0.613
0,7,3,-0.113,-0.065
0,7,4,-0.103,-0.5
0,7,5,0.006,0.0
0,7,6,-0.009,-0.088
0,7,7,-0.064,-0.478
0,7,8,-0.117,-0.147
0,7,9,-0.667,-0.237
0,7,10,-0.162,-0.177
0,7,11,-0.17,-0.195
0,8,2,-0.02,-0.5
0,8,3,0.01,-0.275
0,8,4,-0.252,-0.017
0,8,5,-0.105,-0.632
0,8,6,-0.14,-0.525
0,8,7,0.023,-0.5
0,8,8,-0.042,-0.5
0,8,9,-0.224,-0.653
0,8,10,-0.126,-0.289
0,8,11,-0.074,-0.175
0,9,2,0.003,-0.178
0,9,3,0.056,-0.167
0,9,4,-0.134,-0.024
0,9,5,0.065,0.0
0,9,6,0.033,0.0
0,9,7,0.082,0.0
0,9,8,0.047,-0.5
0,9,9,-0.064,-0.636
0,9,10,-0.094,-0.25
0,9,11,-0.032,-0.075
0,10,2,0.106,-0.04
0,10,3,0.125,0.0
0,10,4,0.067,-0.336
0,10,5,0.164,-0.5
0,10,6,0.126,-0.227
0,10,7,0.124,0.0
0,10,8,0.087,0.0
0,10,9,0.058,0.0
0,10,10,0.032,-0.5
0,10,11,0.079,-0.071
0,11,2,0.218,-0.039
0,11,3,0.223,-0.21
0,11,4,0.158,-0.381
0,11,5,-0.227,-0.027
0,11,6,0.219,-0.417
0,11,7,0.207,-0.233
0,11,8,0.192,-0.186
0,11,9,0.139,0.0
0,11,10,0.142,-0.5
0,11,11,0.181,-0.5
0,12,2,-0.417,-0.112
0,12,3,-0.106,-0.094
0,12,4,-0.494,-0.05
0,12,5,-0.163,-0.5
0,12,6,-0.161,-0.5
0,12,7,-0.179,-0.69
0,12,8,-0.209,-0.234
0,12,9,-0.254,-0.375
0,12,10,-0.227,-0.5
0,12,11,-0.202,-0.5
0,13,2,-0.5,-0.089
0,13,3,-0.225,-0.5
0,13,4,-0.087,-0.055
0,13,5,-0.75,-0.051
0,13,6,-0.233,-0.5
0,13,7,-0.226,-0.265
0,13,8,-0.5,-0.247
0,13,9,-0.278,-0.286
0,13,10,-0.248,-0.5
0,13,11,-0.274,-0.616
0,14,2,-0.221,-0.08
