policy,left_arm,right_arm,rewards
Greedy,0.1,0.1,8.8
EpsilonGreedy,0.1,0.1,11.8
UCB,0.1,0.1,10.0
ThompsonSampling,0.1,0.1,9.2
Greedy,0.1,0.2,7.6
EpsilonGreedy,0.1,0.2,19.4
UCB,0.1,0.2,15.4
ThompsonSampling,0.1,0.2,16.4
Greedy,0.1,0.3,11.2
EpsilonGreedy,0.1,0.3,25.8
UCB,0.1,0.3,28.4
ThompsonSampling,0.1,0.3,26.8
Greedy,0.1,0.4,11.0
EpsilonGreedy,0.1,0.4,35.2
UCB,0.1,0.4,33.6
ThompsonSampling,0.1,0.4,39.0
Greedy,0.1,0.5,12.6
EpsilonGreedy,0.1,0.5,45.8
UCB,0.1,0.5,47.4
ThompsonSampling,0.1,0.5,50.2
Greedy,0.1,0.6,12.4
EpsilonGreedy,0.1,0.6,58.2
UCB,0.1,0.6,61.6
ThompsonSampling,0.1,0.6,55.0
Greedy,0.1,0.7,9.2
EpsilonGreedy,0.1,0.7,68.8
UCB,0.1,0.7,67.6
ThompsonSampling,0.1,0.7,69.4
Greedy,0.1,0.8,8.2
EpsilonGreedy,0.1,0.8,72.6
UCB,0.1,0.8,82.2
ThompsonSampling,0.1,0.8,80.4
Greedy,0.1,0.9,7.6
EpsilonGreedy,0.1,0.9,75.6
UCB,0.1,0.9,91.0
ThompsonSampling,0.1,0.9,89.8
Greedy,0.2,0.1,19.0
EpsilonGreedy,0.2,0.1,19.2
UCB,0.2,0.1,24.6
ThompsonSampling,0.2,0.1,19.8
Greedy,0.2,0.2,17.8
EpsilonGreedy,0.2,0.2,18.4
UCB,0.2,0.2,19.8
ThompsonSampling,0.2,0.2,19.4
Greedy,0.2,0.3,18.8
EpsilonGreedy,0.2,0.3,29.2
UCB,0.2,0.3,25.8
ThompsonSampling,0.2,0.3,21.2
Greedy,0.2,0.4,19.4
EpsilonGreedy,0.2,0.4,40.6
UCB,0.2,0.4,39.8
ThompsonSampling,0.2,0.4,39.2
Greedy,0.2,0.5,22.0
EpsilonGreedy,0.2,0.5,49.8
UCB,0.2,0.5,52.6
ThompsonSampling,0.2,0.5,48.6
Greedy,0.2,0.6,18.6
EpsilonGreedy,0.2,0.6,60.8
UCB,0.2,0.6,56.4
ThompsonSampling,0.2,0.6,59.0
Greedy,0.2,0.7,20.0
EpsilonGreedy,0.2,0.7,66.2
UCB,0.2,0.7,69.0
ThompsonSampling,0.2,0.7,69.4
Greedy,0.2,0.8,18.6
EpsilonGreedy,0.2,0.8,71.8
UCB,0.2,0.8,79.4
ThompsonSampling,0.2,0.8,76.8
Greedy,0.2,0.9,20.6
EpsilonGreedy,0.2,0.9,86.8
UCB,0.2,0.9,87.8
ThompsonSampling,0.2,0.9,89.0
Greedy,0.3,0.1,28.6
EpsilonGreedy,0.3,0.1,28.4
UCB,0.3,0.1,29.8
ThompsonSampling,0.3,0.1,26.6
Greedy,0.3,0.2,27.4
EpsilonGreedy,0.3,0.2,27.6
UCB,0.3,0.2,30.0
ThompsonSampling,0.3,0.2,30.6
Greedy,0.3,0.3,29.6
EpsilonGreedy,0.3,0.3,25.8
UCB,0.3,0.3,32.4
ThompsonSampling,0.3,0.3,28.0
Greedy,0.3,0.4,32.0
EpsilonGreedy,0.3,0.4,37.0
UCB,0.3,0.4,38.8
ThompsonSampling,0.3,0.4,34.8
Greedy,0.3,0.5,31.2
EpsilonGreedy,0.3,0.5,49.4
UCB,0.3,0.5,40.8
ThompsonSampling,0.3,0.5,47.0
Greedy,0.3,0.6,30.4
EpsilonGreedy,0.3,0.6,56.2
UCB,0.3,0.6,59.6
ThompsonSampling,0.3,0.6,57.4
Greedy,0.3,0.7,27.8
EpsilonGreedy,0.3,0.7,61.2
UCB,0.3,0.7,67.4
ThompsonSampling,0.3,0.7,67.8
Greedy,0.3,0.8,30.4
EpsilonGreedy,0.3,0.8,76.6
UCB,0.3,0.8,79.6
ThompsonSampling,0.3,0.8,77.6
Greedy,0.3,0.9,30.0
EpsilonGreedy,0.3,0.9,88.8
UCB,0.3,0.9,89.4
ThompsonSampling,0.3,0.9,87.4
Greedy,0.4,0.1,39.8
EpsilonGreedy,0.4,0.1,35.6
UCB,0.4,0.1,36.8
ThompsonSampling,0.4,0.1,35.0
Greedy,0.4,0.2,37.0
EpsilonGreedy,0.4,0.2,41.6
UCB,0.4,0.2,38.4
ThompsonSampling,0.4,0.2,35.4
Greedy,0.4,0.3,41.8
EpsilonGreedy,0.4,0.3,38.6
UCB,0.4,0.3,42.2
ThompsonSampling,0.4,0.3,35.8
Greedy,0.4,0.4,38.2
EpsilonGreedy,0.4,0.4,36.4
UCB,0.4,0.4,42.0
ThompsonSampling,0.4,0.4,40.4
Greedy,0.4,0.5,41.8
EpsilonGreedy,0.4,0.5,52.6
